Comment,Designator,Footprint,LCSC
ATtiny10-TS,U1,SOT-23-6,C128438
D_Schottky,D1,D_SOD-323,C22623
220,R1,R_0603_1608Metric,C22962
LED,D3,LED_0805_2012Metric,C84256
D_Zener,D2,D_SOD-123,C96629
C_Polarized,C2,CP_Radial_D16.0mm_P7.50mm,
ISP,J1,PinHeader_2x05_P2.54mm_Vertical,
C_Polarized,C3,CP_Radial_D16.0mm_P7.50mm,
Jumper_2_Open,JP1,PinHeader_1x02_P2.54mm_Vertical,
Solar_Cell,SC1,PinHeader_1x02_P2.54mm_Vertical,
C_Polarized,C1,CP_Radial_D16.0mm_P7.50mm,
C_Polarized,C4,CP_Radial_D16.0mm_P7.50mm,
C_Polarized,C5,CP_Radial_D16.0mm_P7.50mm,
C_Polarized,C6,CP_Radial_D16.0mm_P7.50mm,
