Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,C_Polarized,CP_Radial_D16.0mm_P7.50mm,180.34,-101.6,0.0,bottom
C2,C_Polarized,CP_Radial_D16.0mm_P7.50mm,172.72,-114.798227,-60.0,bottom
C3,C_Polarized,CP_Radial_D16.0mm_P7.50mm,157.48,-114.798227,-120.0,bottom
C4,C_Polarized,CP_Radial_D16.0mm_P7.50mm,149.86,-101.6,180.0,bottom
C5,C_Polarized,CP_Radial_D16.0mm_P7.50mm,157.48,-88.401773,120.0,bottom
C6,C_Polarized,CP_Radial_D16.0mm_P7.50mm,172.72,-88.401773,60.0,bottom
D1,D_Schottky,D_SOD-323,158.05,-92.74,-90.0,top
D2,D_Zener,D_SOD-123F,146.7,-105.52,180.0,top
D3,LED,LED_0805_2012Metric,165.1,-76.2,0.0,top
J1,ISP,PinHeader_2x05_P2.54mm_Vertical,170.84,-106.9,0.0,bottom
JP1,Jumper_2_Open,PinHeader_1x02_P2.54mm_Vertical,163.21,-107.39,-90.0,bottom
R1,220,R_0603_1608Metric,164.485,-94.08,90.0,top
SC1,Solar_Cell,PinHeader_1x02_P2.54mm_Vertical,158.05,-97.56,180.0,bottom
U1,ATtiny10-TS,SOT-23-6,164.7425,-99.87,180.0,top
