START,2022/04/10,08:50:04,
ID,170800000,
INTERVAL,010,sec,
,MAIN,,,SUB-1,,,SUB-2,,,Remark,
No. ,Func. ,Value,Unit,Func. ,Value,Unit,Func. ,Value,Unit,
1,DCV,-00.0287,V,,,,,,,,
2,DCV,00.0137,V,,,,,,,,
3,DCV,00.0558,V,,,,,,,,
4,DCV,00.1009,V,,,,,,,,
5,DCV,00.1321,V,,,,,,,,
6,DCV,00.1671,V,,,,,,,,
7,DCV,00.2152,V,,,,,,,,
8,DCV,00.2623,V,,,,,,,,
9,DCV,00.3087,V,,,,,,,,
10,DCV,00.3549,V,,,,,,,,
11,DCV,00.4005,V,,,,,,,,
12,DCV,00.4454,V,,,,,,,,
13,DCV,00.4895,V,,,,,,,,
14,DCV,00.5327,V,,,,,,,,
15,DCV,00.5756,V,,,,,,,,
16,DCV,00.6181,V,,,,,,,,
17,DCV,00.6597,V,,,,,,,,
18,DCV,00.6998,V,,,,,,,,
19,DCV,00.7387,V,,,,,,,,
20,DCV,00.7773,V,,,,,,,,
21,DCV,00.8169,V,,,,,,,,
22,DCV,00.8552,V,,,,,,,,
23,DCV,00.8931,V,,,,,,,,
24,DCV,00.9311,V,,,,,,,,
25,DCV,00.9689,V,,,,,,,,
26,DCV,01.0061,V,,,,,,,,
27,DCV,01.0432,V,,,,,,,,
28,DCV,01.0793,V,,,,,,,,
29,DCV,01.1156,V,,,,,,,,
30,DCV,01.1515,V,,,,,,,,
31,DCV,01.1871,V,,,,,,,,
32,DCV,01.2224,V,,,,,,,,
33,DCV,01.2576,V,,,,,,,,
34,DCV,01.2921,V,,,,,,,,
35,DCV,01.3266,V,,,,,,,,
36,DCV,01.3605,V,,,,,,,,
37,DCV,01.3941,V,,,,,,,,
38,DCV,01.4267,V,,,,,,,,
39,DCV,01.4596,V,,,,,,,,
40,DCV,01.4905,V,,,,,,,,
41,DCV,01.5172,V,,,,,,,,
42,DCV,01.5426,V,,,,,,,,
43,DCV,01.5715,V,,,,,,,,
44,DCV,01.5993,V,,,,,,,,
45,DCV,01.6117,V,,,,,,,,
46,DCV,01.6211,V,,,,,,,,
47,DCV,01.6315,V,,,,,,,,
48,DCV,01.6478,V,,,,,,,,
49,DCV,01.6606,V,,,,,,,,
50,DCV,01.6699,V,,,,,,,,
51,DCV,01.6777,V,,,,,,,,
52,DCV,01.6862,V,,,,,,,,
53,DCV,01.6997,V,,,,,,,,
54,DCV,01.7141,V,,,,,,,,
55,DCV,01.7258,V,,,,,,,,
