START,2023/04/10,08:31:59,,,,,,,,,
ID,170800000,,,,,,,,,,
INTERVAL,10,sec,,,,,,,,,
,MAIN,,,SUB-1,,,SUB-2,,,Remark,
No.,Func.,Value,Unit,Func.,Value,Unit,Func.,Value,Unit,,Seconds
1,DCV,1.8677,V,,,,,,,,10
2,DCV,1.8679,V,,,,,,,,20
3,DCV,1.868,V,,,,,,,,30
4,DCV,1.8694,V,,,,,,,,40
5,DCV,1.8869,V,,,,,,,,50
6,DCV,1.9006,V,,,,,,,,60
7,DCV,1.9128,V,,,,,,,,70
8,DCV,1.9239,V,,,,,,,,80
9,DCV,1.9342,V,,,,,,,,90
10,DCV,1.9444,V,,,,,,,,100
11,DCV,1.9546,V,,,,,,,,110
12,DCV,1.9637,V,,,,,,,,120
13,DCV,1.9719,V,,,,,,,,130
14,DCV,1.9794,V,,,,,,,,140
15,DCV,1.9862,V,,,,,,,,150
16,DCV,1.9925,V,,,,,,,,160
17,DCV,1.9981,V,,,,,,,,170
18,DCV,2.003,V,,,,,,,,180
19,DCV,2.0074,V,,,,,,,,190
20,DCV,2.0116,V,,,,,,,,200
21,DCV,2.0154,V,,,,,,,,210
22,DCV,2.019,V,,,,,,,,220
23,DCV,2.023,V,,,,,,,,230
24,DCV,2.0271,V,,,,,,,,240
25,DCV,2.0311,V,,,,,,,,250
26,DCV,2.0344,V,,,,,,,,260
27,DCV,2.0367,V,,,,,,,,270
28,DCV,2.0384,V,,,,,,,,280
29,DCV,2.0399,V,,,,,,,,290
30,DCV,2.0411,V,,,,,,,,300
31,DCV,2.0426,V,,,,,,,,310
32,DCV,2.044,V,,,,,,,,320
33,DCV,2.0455,V,,,,,,,,330
34,DCV,2.0467,V,,,,,,,,340
35,DCV,2.0482,V,,,,,,,,350
36,DCV,2.0499,V,,,,,,,,360
37,DCV,2.0522,V,,,,,,,,370
38,DCV,2.0544,V,,,,,,,,380
39,DCV,2.0558,V,,,,,,,,390
40,DCV,2.057,V,,,,,,,,400
41,DCV,2.0585,V,,,,,,,,410
42,DCV,2.0606,V,,,,,,,,420
43,DCV,2.0618,V,,,,,,,,430
44,DCV,2.0627,V,,,,,,,,440
45,DCV,2.0661,V,,,,,,,,450
46,DCV,2.0685,V,,,,,,,,460
47,DCV,2.0698,V,,,,,,,,470
48,DCV,2.0702,V,,,,,,,,480
49,DCV,2.0708,V,,,,,,,,490
50,DCV,2.0717,V,,,,,,,,500
51,DCV,2.0721,V,,,,,,,,510
52,DCV,2.0722,V,,,,,,,,520
53,DCV,2.0723,V,,,,,,,,530
54,DCV,2.0727,V,,,,,,,,540
55,DCV,2.0733,V,,,,,,,,550
56,DCV,2.075,V,,,,,,,,560
57,DCV,2.0756,V,,,,,,,,570
58,DCV,2.0757,V,,,,,,,,580
59,DCV,2.0764,V,,,,,,,,590
60,DCV,2.0769,V,,,,,,,,600
61,DCV,2.077,V,,,,,,,,610
62,DCV,2.0771,V,,,,,,,,620
63,DCV,2.0773,V,,,,,,,,630
64,DCV,2.0772,V,,,,,,,,640
65,DCV,2.0776,V,,,,,,,,650
66,DCV,2.0776,V,,,,,,,,660
67,DCV,2.0779,V,,,,,,,,670
68,DCV,2.0779,V,,,,,,,,680
69,DCV,2.0782,V,,,,,,,,690
70,DCV,2.0786,V,,,,,,,,700
71,DCV,2.0793,V,,,,,,,,710
72,DCV,2.0798,V,,,,,,,,720
73,DCV,2.0809,V,,,,,,,,730
74,DCV,2.0816,V,,,,,,,,740
75,DCV,2.0818,V,,,,,,,,750
76,DCV,2.0823,V,,,,,,,,760
77,DCV,2.083,V,,,,,,,,770
78,DCV,2.0833,V,,,,,,,,780
79,DCV,2.0836,V,,,,,,,,790
80,DCV,2.0835,V,,,,,,,,800
81,DCV,2.0836,V,,,,,,,,810
82,DCV,2.0836,V,,,,,,,,820
83,DCV,2.0835,V,,,,,,,,830
84,DCV,2.0836,V,,,,,,,,840
85,DCV,2.0838,V,,,,,,,,850
86,DCV,2.0843,V,,,,,,,,860
87,DCV,2.0847,V,,,,,,,,870
88,DCV,2.0854,V,,,,,,,,880
89,DCV,2.0865,V,,,,,,,,890
90,DCV,2.0871,V,,,,,,,,900
91,DCV,2.0872,V,,,,,,,,910
92,DCV,2.0874,V,,,,,,,,920
93,DCV,2.0874,V,,,,,,,,930
94,DCV,2.0875,V,,,,,,,,940
95,DCV,2.0876,V,,,,,,,,950
96,DCV,2.0876,V,,,,,,,,960
97,DCV,2.0874,V,,,,,,,,970
98,DCV,2.0874,V,,,,,,,,980
99,DCV,2.0872,V,,,,,,,,990
100,DCV,2.0874,V,,,,,,,,1000
101,DCV,2.0872,V,,,,,,,,1010
102,DCV,2.0888,V,,,,,,,,1020
103,DCV,2.0895,V,,,,,,,,1030
104,DCV,2.09,V,,,,,,,,1040
105,DCV,2.0903,V,,,,,,,,1050
106,DCV,2.0901,V,,,,,,,,1060
107,DCV,2.091,V,,,,,,,,1070
108,DCV,2.0908,V,,,,,,,,1080
109,DCV,2.0937,V,,,,,,,,1090
110,DCV,2.0972,V,,,,,,,,1100
111,DCV,2.1008,V,,,,,,,,1110
112,DCV,2.1027,V,,,,,,,,1120
113,DCV,2.1043,V,,,,,,,,1130
114,DCV,2.106,V,,,,,,,,1140
115,DCV,2.1075,V,,,,,,,,1150
116,DCV,2.1083,V,,,,,,,,1160
117,DCV,2.109,V,,,,,,,,1170
118,DCV,2.1101,V,,,,,,,,1180
119,DCV,2.1112,V,,,,,,,,1190
120,DCV,2.1118,V,,,,,,,,1200
121,DCV,2.1122,V,,,,,,,,1210
122,DCV,2.1125,V,,,,,,,,1220
123,DCV,2.1127,V,,,,,,,,1230
124,DCV,2.113,V,,,,,,,,1240
125,DCV,2.113,V,,,,,,,,1250
126,DCV,2.1129,V,,,,,,,,1260
127,DCV,2.1134,V,,,,,,,,1270
128,DCV,2.1137,V,,,,,,,,1280
129,DCV,2.1144,V,,,,,,,,1290
130,DCV,2.1151,V,,,,,,,,1300
131,DCV,2.1155,V,,,,,,,,1310
132,DCV,2.1155,V,,,,,,,,1320
133,DCV,2.1159,V,,,,,,,,1330
134,DCV,2.1171,V,,,,,,,,1340
135,DCV,2.1194,V,,,,,,,,1350
136,DCV,2.1225,V,,,,,,,,1360
137,DCV,2.1244,V,,,,,,,,1370
138,DCV,2.1259,V,,,,,,,,1380
139,DCV,2.1278,V,,,,,,,,1390
140,DCV,2.1285,V,,,,,,,,1400
141,DCV,2.1287,V,,,,,,,,1410
142,DCV,2.1287,V,,,,,,,,1420
143,DCV,2.1286,V,,,,,,,,1430
144,DCV,2.1292,V,,,,,,,,1440
145,DCV,2.1299,V,,,,,,,,1450
146,DCV,2.1307,V,,,,,,,,1460
147,DCV,2.1314,V,,,,,,,,1470
148,DCV,2.1319,V,,,,,,,,1480
149,DCV,2.1329,V,,,,,,,,1490
150,DCV,2.1335,V,,,,,,,,1500
151,DCV,2.1342,V,,,,,,,,1510
152,DCV,2.1356,V,,,,,,,,1520
153,DCV,2.1364,V,,,,,,,,1530
154,DCV,2.1371,V,,,,,,,,1540
155,DCV,2.138,V,,,,,,,,1550
156,DCV,2.1385,V,,,,,,,,1560
157,DCV,2.1387,V,,,,,,,,1570
158,DCV,2.1387,V,,,,,,,,1580
159,DCV,2.1392,V,,,,,,,,1590
160,DCV,2.1396,V,,,,,,,,1600
161,DCV,2.1399,V,,,,,,,,1610
162,DCV,2.14,V,,,,,,,,1620
163,DCV,2.14,V,,,,,,,,1630
164,DCV,2.1399,V,,,,,,,,1640
165,DCV,2.1398,V,,,,,,,,1650
166,DCV,2.1397,V,,,,,,,,1660
167,DCV,2.1396,V,,,,,,,,1670
168,DCV,2.1399,V,,,,,,,,1680
169,DCV,2.1406,V,,,,,,,,1690
170,DCV,2.1413,V,,,,,,,,1700
171,DCV,2.1417,V,,,,,,,,1710
172,DCV,2.1416,V,,,,,,,,1720
173,DCV,2.1414,V,,,,,,,,1730
174,DCV,2.1415,V,,,,,,,,1740
175,DCV,2.1413,V,,,,,,,,1750
176,DCV,2.1416,V,,,,,,,,1760
177,DCV,2.1417,V,,,,,,,,1770
178,DCV,2.1417,V,,,,,,,,1780
179,DCV,2.1416,V,,,,,,,,1790
180,DCV,2.1415,V,,,,,,,,1800
181,DCV,2.1414,V,,,,,,,,1810
182,DCV,2.1413,V,,,,,,,,1820
183,DCV,2.1414,V,,,,,,,,1830
184,DCV,2.1413,V,,,,,,,,1840
185,DCV,2.1412,V,,,,,,,,1850
186,DCV,2.1411,V,,,,,,,,1860
187,DCV,2.1412,V,,,,,,,,1870
188,DCV,2.1411,V,,,,,,,,1880
189,DCV,2.1415,V,,,,,,,,1890
190,DCV,2.1416,V,,,,,,,,1900
191,DCV,2.1418,V,,,,,,,,1910
192,DCV,2.143,V,,,,,,,,1920
193,DCV,2.1438,V,,,,,,,,1930
194,DCV,2.1445,V,,,,,,,,1940
195,DCV,2.1453,V,,,,,,,,1950
196,DCV,2.1455,V,,,,,,,,1960
197,DCV,2.1457,V,,,,,,,,1970
198,DCV,2.146,V,,,,,,,,1980
199,DCV,2.1463,V,,,,,,,,1990
200,DCV,2.1466,V,,,,,,,,2000
201,DCV,2.1469,V,,,,,,,,2010
202,DCV,2.1474,V,,,,,,,,2020
203,DCV,2.1476,V,,,,,,,,2030
204,DCV,2.1479,V,,,,,,,,2040
205,DCV,2.1481,V,,,,,,,,2050
206,DCV,2.1481,V,,,,,,,,2060
207,DCV,2.1486,V,,,,,,,,2070
208,DCV,2.1489,V,,,,,,,,2080
209,DCV,2.149,V,,,,,,,,2090
210,DCV,2.1489,V,,,,,,,,2100
211,DCV,2.149,V,,,,,,,,2110
212,DCV,2.1491,V,,,,,,,,2120
213,DCV,2.1494,V,,,,,,,,2130
214,DCV,2.1494,V,,,,,,,,2140
215,DCV,2.1498,V,,,,,,,,2150
216,DCV,2.1501,V,,,,,,,,2160
217,DCV,2.1506,V,,,,,,,,2170
218,DCV,2.1511,V,,,,,,,,2180
219,DCV,2.1517,V,,,,,,,,2190
220,DCV,2.1522,V,,,,,,,,2200
221,DCV,2.1534,V,,,,,,,,2210
222,DCV,2.1543,V,,,,,,,,2220
223,DCV,2.1546,V,,,,,,,,2230
224,DCV,2.155,V,,,,,,,,2240
225,DCV,2.1554,V,,,,,,,,2250
226,DCV,2.1553,V,,,,,,,,2260
227,DCV,2.1552,V,,,,,,,,2270
228,DCV,2.155,V,,,,,,,,2280
229,DCV,2.155,V,,,,,,,,2290
230,DCV,2.1549,V,,,,,,,,2300
231,DCV,2.1549,V,,,,,,,,2310
232,DCV,2.1548,V,,,,,,,,2320
233,DCV,2.1547,V,,,,,,,,2330
234,DCV,2.1546,V,,,,,,,,2340
235,DCV,2.1549,V,,,,,,,,2350
236,DCV,2.1555,V,,,,,,,,2360
237,DCV,2.1556,V,,,,,,,,2370
238,DCV,2.156,V,,,,,,,,2380
239,DCV,2.1565,V,,,,,,,,2390
240,DCV,2.1569,V,,,,,,,,2400
241,DCV,2.1572,V,,,,,,,,2410
242,DCV,2.1577,V,,,,,,,,2420
243,DCV,2.1578,V,,,,,,,,2430
244,DCV,2.1577,V,,,,,,,,2440
245,DCV,2.158,V,,,,,,,,2450
246,DCV,2.1585,V,,,,,,,,2460
247,DCV,2.1592,V,,,,,,,,2470
248,DCV,2.1594,V,,,,,,,,2480
249,DCV,2.1593,V,,,,,,,,2490
250,DCV,2.1593,V,,,,,,,,2500
251,DCV,2.1597,V,,,,,,,,2510
252,DCV,2.1599,V,,,,,,,,2520
253,DCV,2.1602,V,,,,,,,,2530
254,DCV,2.1603,V,,,,,,,,2540
255,DCV,2.1602,V,,,,,,,,2550
256,DCV,2.1601,V,,,,,,,,2560
257,DCV,2.16,V,,,,,,,,2570
258,DCV,2.1601,V,,,,,,,,2580
259,DCV,2.1601,V,,,,,,,,2590
260,DCV,2.1599,V,,,,,,,,2600
261,DCV,2.16,V,,,,,,,,2610
262,DCV,2.1601,V,,,,,,,,2620
263,DCV,2.1599,V,,,,,,,,2630
264,DCV,2.1601,V,,,,,,,,2640
265,DCV,2.1602,V,,,,,,,,2650
266,DCV,2.1604,V,,,,,,,,2660
267,DCV,2.1605,V,,,,,,,,2670
268,DCV,2.1611,V,,,,,,,,2680
269,DCV,2.1612,V,,,,,,,,2690
270,DCV,2.1614,V,,,,,,,,2700
271,DCV,2.1613,V,,,,,,,,2710
272,DCV,2.1612,V,,,,,,,,2720
273,DCV,2.1612,V,,,,,,,,2730
274,DCV,2.1611,V,,,,,,,,2740
275,DCV,2.1608,V,,,,,,,,2750
276,DCV,2.1607,V,,,,,,,,2760
277,DCV,2.1607,V,,,,,,,,2770
278,DCV,2.1608,V,,,,,,,,2780
279,DCV,2.1611,V,,,,,,,,2790
280,DCV,2.161,V,,,,,,,,2800
281,DCV,2.1612,V,,,,,,,,2810
282,DCV,2.1615,V,,,,,,,,2820
283,DCV,2.1616,V,,,,,,,,2830
284,DCV,2.1615,V,,,,,,,,2840
285,DCV,2.1616,V,,,,,,,,2850
286,DCV,2.1619,V,,,,,,,,2860
287,DCV,2.1618,V,,,,,,,,2870
288,DCV,2.162,V,,,,,,,,2880
289,DCV,2.1622,V,,,,,,,,2890
290,DCV,2.1619,V,,,,,,,,2900
291,DCV,2.1619,V,,,,,,,,2910
292,DCV,2.1618,V,,,,,,,,2920
293,DCV,2.1619,V,,,,,,,,2930
294,DCV,2.1621,V,,,,,,,,2940
295,DCV,2.1624,V,,,,,,,,2950
296,DCV,2.1631,V,,,,,,,,2960
297,DCV,2.1636,V,,,,,,,,2970
298,DCV,2.1638,V,,,,,,,,2980
299,DCV,2.164,V,,,,,,,,2990
300,DCV,2.164,V,,,,,,,,3000
301,DCV,2.1645,V,,,,,,,,3010
302,DCV,2.1652,V,,,,,,,,3020
303,DCV,2.1656,V,,,,,,,,3030
304,DCV,2.1658,V,,,,,,,,3040
305,DCV,2.1658,V,,,,,,,,3050
306,DCV,2.1657,V,,,,,,,,3060
307,DCV,2.1656,V,,,,,,,,3070
308,DCV,2.1654,V,,,,,,,,3080
309,DCV,2.1654,V,,,,,,,,3090
310,DCV,2.1655,V,,,,,,,,3100
311,DCV,2.1655,V,,,,,,,,3110
312,DCV,2.1654,V,,,,,,,,3120
313,DCV,2.1655,V,,,,,,,,3130
314,DCV,2.1655,V,,,,,,,,3140
315,DCV,2.1654,V,,,,,,,,3150
316,DCV,2.1653,V,,,,,,,,3160
317,DCV,2.1664,V,,,,,,,,3170
318,DCV,2.167,V,,,,,,,,3180
319,DCV,2.1673,V,,,,,,,,3190
320,DCV,2.1674,V,,,,,,,,3200
321,DCV,2.1676,V,,,,,,,,3210
322,DCV,2.1677,V,,,,,,,,3220
323,DCV,2.1677,V,,,,,,,,3230
324,DCV,2.1683,V,,,,,,,,3240
325,DCV,2.1685,V,,,,,,,,3250
326,DCV,2.1684,V,,,,,,,,3260
327,DCV,2.1684,V,,,,,,,,3270
328,DCV,2.1685,V,,,,,,,,3280
329,DCV,2.1684,V,,,,,,,,3290
330,DCV,2.1682,V,,,,,,,,3300
331,DCV,2.1685,V,,,,,,,,3310
332,DCV,2.1687,V,,,,,,,,3320
333,DCV,2.1687,V,,,,,,,,3330
334,DCV,2.1685,V,,,,,,,,3340
335,DCV,2.1683,V,,,,,,,,3350
336,DCV,2.1683,V,,,,,,,,3360
337,DCV,2.1682,V,,,,,,,,3370
338,DCV,2.168,V,,,,,,,,3380
339,DCV,2.1682,V,,,,,,,,3390
340,DCV,2.1686,V,,,,,,,,3400
341,DCV,2.1688,V,,,,,,,,3410
342,DCV,2.169,V,,,,,,,,3420
343,DCV,2.169,V,,,,,,,,3430
344,DCV,2.1689,V,,,,,,,,3440
345,DCV,2.1688,V,,,,,,,,3450
346,DCV,2.1688,V,,,,,,,,3460
347,DCV,2.1689,V,,,,,,,,3470
348,DCV,2.1693,V,,,,,,,,3480
349,DCV,2.1693,V,,,,,,,,3490
350,DCV,2.1691,V,,,,,,,,3500
351,DCV,2.1694,V,,,,,,,,3510
352,DCV,2.1693,V,,,,,,,,3520
353,DCV,2.1696,V,,,,,,,,3530
354,DCV,2.1695,V,,,,,,,,3540
355,DCV,2.1695,V,,,,,,,,3550
356,DCV,2.1693,V,,,,,,,,3560
357,DCV,2.1693,V,,,,,,,,3570
358,DCV,2.1692,V,,,,,,,,3580
359,DCV,2.1691,V,,,,,,,,3590
360,DCV,2.1689,V,,,,,,,,3600
361,DCV,2.1688,V,,,,,,,,3610
362,DCV,2.169,V,,,,,,,,3620
363,DCV,2.1696,V,,,,,,,,3630
364,DCV,2.1701,V,,,,,,,,3640
365,DCV,2.1701,V,,,,,,,,3650
366,DCV,2.1701,V,,,,,,,,3660
367,DCV,2.1699,V,,,,,,,,3670
368,DCV,2.1698,V,,,,,,,,3680
369,DCV,2.1696,V,,,,,,,,3690
370,DCV,2.1695,V,,,,,,,,3700
371,DCV,2.1694,V,,,,,,,,3710
372,DCV,2.1695,V,,,,,,,,3720
373,DCV,2.1694,V,,,,,,,,3730
374,DCV,2.1692,V,,,,,,,,3740
375,DCV,2.1692,V,,,,,,,,3750
376,DCV,2.169,V,,,,,,,,3760
377,DCV,2.1689,V,,,,,,,,3770
378,DCV,2.1688,V,,,,,,,,3780
379,DCV,2.1688,V,,,,,,,,3790
380,DCV,2.1686,V,,,,,,,,3800
381,DCV,2.1684,V,,,,,,,,3810
382,DCV,2.1683,V,,,,,,,,3820
383,DCV,2.1683,V,,,,,,,,3830
384,DCV,2.1681,V,,,,,,,,3840
385,DCV,2.168,V,,,,,,,,3850
386,DCV,2.168,V,,,,,,,,3860
387,DCV,2.1678,V,,,,,,,,3870
388,DCV,2.1676,V,,,,,,,,3880
389,DCV,2.1676,V,,,,,,,,3890
390,DCV,2.1676,V,,,,,,,,3900
391,DCV,2.1675,V,,,,,,,,3910
392,DCV,2.1675,V,,,,,,,,3920
393,DCV,2.1673,V,,,,,,,,3930
394,DCV,2.1674,V,,,,,,,,3940
395,DCV,2.1674,V,,,,,,,,3950
396,DCV,2.1674,V,,,,,,,,3960
397,DCV,2.1674,V,,,,,,,,3970
398,DCV,2.1672,V,,,,,,,,3980
399,DCV,2.167,V,,,,,,,,3990
400,DCV,2.1669,V,,,,,,,,4000
401,DCV,2.1667,V,,,,,,,,4010
402,DCV,2.1666,V,,,,,,,,4020
403,DCV,2.1665,V,,,,,,,,4030
404,DCV,2.1664,V,,,,,,,,4040
405,DCV,2.1668,V,,,,,,,,4050
406,DCV,2.1672,V,,,,,,,,4060
407,DCV,2.1672,V,,,,,,,,4070
408,DCV,2.1673,V,,,,,,,,4080
409,DCV,2.1671,V,,,,,,,,4090
410,DCV,2.1672,V,,,,,,,,4100
411,DCV,2.1677,V,,,,,,,,4110
412,DCV,2.168,V,,,,,,,,4120
413,DCV,2.1682,V,,,,,,,,4130
414,DCV,2.1682,V,,,,,,,,4140
415,DCV,2.1681,V,,,,,,,,4150
416,DCV,2.168,V,,,,,,,,4160
417,DCV,2.168,V,,,,,,,,4170
418,DCV,2.1677,V,,,,,,,,4180
419,DCV,2.1676,V,,,,,,,,4190
420,DCV,2.1674,V,,,,,,,,4200
421,DCV,2.1673,V,,,,,,,,4210
422,DCV,2.1672,V,,,,,,,,4220
423,DCV,2.1672,V,,,,,,,,4230
424,DCV,2.167,V,,,,,,,,4240
425,DCV,2.1669,V,,,,,,,,4250
426,DCV,2.1668,V,,,,,,,,4260
427,DCV,2.1668,V,,,,,,,,4270
428,DCV,2.1667,V,,,,,,,,4280
429,DCV,2.1665,V,,,,,,,,4290
430,DCV,2.1665,V,,,,,,,,4300
431,DCV,2.1664,V,,,,,,,,4310
432,DCV,2.1663,V,,,,,,,,4320
433,DCV,2.1662,V,,,,,,,,4330
