START,2022/03/27,11:11:26,
ID,170800000,
INTERVAL,010,sec,
,MAIN,,,SUB-1,,,SUB-2,,,Remark,
No. ,Func. ,Value,Unit,Func. ,Value,Unit,Func. ,Value,Unit,
1,DCV,02.4583,V,,,,,,,,
2,DCV,02.4846,V,,,,,,,,
3,DCV,02.5094,V,,,,,,,,
4,DCV,02.5337,V,,,,,,,,
5,DCV,02.5570,V,,,,,,,,
6,DCV,02.5797,V,,,,,,,,
7,DCV,02.6015,V,,,,,,,,
8,DCV,02.6227,V,,,,,,,,
9,DCV,02.6431,V,,,,,,,,
10,DCV,02.6628,V,,,,,,,,
11,DCV,02.6812,V,,,,,,,,
12,DCV,02.6995,V,,,,,,,,
13,DCV,02.7164,V,,,,,,,,
14,DCV,02.7256,V,,,,,,,,
15,DCV,02.7217,V,,,,,,,,
16,DCV,02.7180,V,,,,,,,,
17,DCV,02.7140,V,,,,,,,,
18,DCV,02.7102,V,,,,,,,,
19,DCV,02.7063,V,,,,,,,,
20,DCV,02.7027,V,,,,,,,,
21,DCV,02.6991,V,,,,,,,,
22,DCV,02.6955,V,,,,,,,,
23,DCV,02.6922,V,,,,,,,,
24,DCV,02.6886,V,,,,,,,,
25,DCV,02.6853,V,,,,,,,,
26,DCV,02.6818,V,,,,,,,,
27,DCV,02.6786,V,,,,,,,,
28,DCV,02.6750,V,,,,,,,,
29,DCV,02.6718,V,,,,,,,,
30,DCV,02.6686,V,,,,,,,,
31,DCV,02.6654,V,,,,,,,,
32,DCV,02.6623,V,,,,,,,,
33,DCV,02.6592,V,,,,,,,,
34,DCV,02.6563,V,,,,,,,,
35,DCV,02.6537,V,,,,,,,,
36,DCV,02.6513,V,,,,,,,,
37,DCV,02.6491,V,,,,,,,,
38,DCV,02.6473,V,,,,,,,,
39,DCV,02.6462,V,,,,,,,,
40,DCV,02.6449,V,,,,,,,,
41,DCV,02.6436,V,,,,,,,,
42,DCV,02.6423,V,,,,,,,,
43,DCV,02.6412,V,,,,,,,,
44,DCV,02.6402,V,,,,,,,,
45,DCV,02.6398,V,,,,,,,,
46,DCV,02.6406,V,,,,,,,,
47,DCV,02.6514,V,,,,,,,,
48,DCV,02.6713,V,,,,,,,,
49,DCV,02.6918,V,,,,,,,,
50,DCV,02.7109,V,,,,,,,,
51,DCV,02.7206,V,,,,,,,,
52,DCV,02.7184,V,,,,,,,,
53,DCV,02.7168,V,,,,,,,,
54,DCV,02.7140,V,,,,,,,,
55,DCV,02.7108,V,,,,,,,,
56,DCV,02.7074,V,,,,,,,,
57,DCV,02.7042,V,,,,,,,,
58,DCV,02.7008,V,,,,,,,,
59,DCV,02.6977,V,,,,,,,,
60,DCV,02.6943,V,,,,,,,,
61,DCV,02.6911,V,,,,,,,,
62,DCV,02.6878,V,,,,,,,,
63,DCV,02.6847,V,,,,,,,,
64,DCV,02.6816,V,,,,,,,,
65,DCV,02.6786,V,,,,,,,,
66,DCV,02.6756,V,,,,,,,,
67,DCV,02.6728,V,,,,,,,,
68,DCV,02.6699,V,,,,,,,,
69,DCV,02.6671,V,,,,,,,,
70,DCV,02.6644,V,,,,,,,,
71,DCV,02.6620,V,,,,,,,,
72,DCV,02.6597,V,,,,,,,,
73,DCV,02.6583,V,,,,,,,,
74,DCV,02.6617,V,,,,,,,,
75,DCV,02.6656,V,,,,,,,,
76,DCV,02.6694,V,,,,,,,,
77,DCV,02.6862,V,,,,,,,,
78,DCV,02.7039,V,,,,,,,,
79,DCV,02.7198,V,,,,,,,,
80,DCV,02.7357,V,,,,,,,,
81,DCV,02.7509,V,,,,,,,,
82,DCV,02.7644,V,,,,,,,,
83,DCV,02.7768,V,,,,,,,,
84,DCV,02.7879,V,,,,,,,,
85,DCV,02.7935,V,,,,,,,,
86,DCV,02.7915,V,,,,,,,,
87,DCV,02.7884,V,,,,,,,,
88,DCV,02.7850,V,,,,,,,,
89,DCV,02.7826,V,,,,,,,,
90,DCV,02.7910,V,,,,,,,,
91,DCV,02.8029,V,,,,,,,,
