START,2022/02/25,21:57:54,
ID,170800000,
INTERVAL,010,sec,
,MAIN,,,SUB-1,,,SUB-2,,,Remark,
No. ,Func. ,Value,Unit,Func. ,Value,Unit,Func. ,Value,Unit,
1,DCV,02.5641,V,,,,,,,,
2,DCV,02.8826,V,,,,,,,,
3,DCV,02.5775,V,,,,,,,,
4,DCV,02.5719,V,,,,,,,,
5,DCV,02.3064,V,,,,,,,,
6,DCV,02.3019,V,,,,,,,,
7,DCV,02.2975,V,,,,,,,,
8,DCV,02.2931,V,,,,,,,,
9,DCV,02.2893,V,,,,,,,,
10,DCV,02.2854,V,,,,,,,,
11,DCV,02.2819,V,,,,,,,,
12,DCV,02.2788,V,,,,,,,,
13,DCV,02.2752,V,,,,,,,,
14,DCV,02.2720,V,,,,,,,,
15,DCV,02.2693,V,,,,,,,,
16,DCV,02.2661,V,,,,,,,,
17,DCV,02.2634,V,,,,,,,,
18,DCV,02.2606,V,,,,,,,,
19,DCV,02.2583,V,,,,,,,,
20,DCV,02.2553,V,,,,,,,,
21,DCV,02.2530,V,,,,,,,,
22,DCV,02.2501,V,,,,,,,,
23,DCV,02.2480,V,,,,,,,,
24,DCV,02.2454,V,,,,,,,,
25,DCV,02.2434,V,,,,,,,,
26,DCV,02.2409,V,,,,,,,,
27,DCV,02.2389,V,,,,,,,,
28,DCV,02.2365,V,,,,,,,,
29,DCV,02.2344,V,,,,,,,,
30,DCV,02.2321,V,,,,,,,,
31,DCV,02.2302,V,,,,,,,,
32,DCV,02.2279,V,,,,,,,,
33,DCV,02.2261,V,,,,,,,,
34,DCV,02.2238,V,,,,,,,,
35,DCV,02.2221,V,,,,,,,,
36,DCV,02.2200,V,,,,,,,,
37,DCV,02.2183,V,,,,,,,,
38,DCV,02.2160,V,,,,,,,,
39,DCV,02.2146,V,,,,,,,,
40,DCV,02.2123,V,,,,,,,,
41,DCV,02.2108,V,,,,,,,,
42,DCV,02.2087,V,,,,,,,,
43,DCV,02.2072,V,,,,,,,,
44,DCV,02.2054,V,,,,,,,,
45,DCV,02.2025,V,,,,,,,,
46,DCV,02.2002,V,,,,,,,,
47,DCV,02.1985,V,,,,,,,,
48,DCV,02.1971,V,,,,,,,,
49,DCV,02.1954,V,,,,,,,,
50,DCV,02.1937,V,,,,,,,,
51,DCV,02.1919,V,,,,,,,,
52,DCV,02.1905,V,,,,,,,,
53,DCV,02.1888,V,,,,,,,,
54,DCV,02.1871,V,,,,,,,,
55,DCV,02.1858,V,,,,,,,,
56,DCV,02.1844,V,,,,,,,,
57,DCV,02.1829,V,,,,,,,,
58,DCV,02.1811,V,,,,,,,,
59,DCV,02.1793,V,,,,,,,,
60,DCV,02.1778,V,,,,,,,,
61,DCV,02.1767,V,,,,,,,,
62,DCV,02.1748,V,,,,,,,,
63,DCV,02.1733,V,,,,,,,,
64,DCV,02.1723,V,,,,,,,,
65,DCV,02.1710,V,,,,,,,,
66,DCV,02.1691,V,,,,,,,,
67,DCV,02.1680,V,,,,,,,,
68,DCV,02.1665,V,,,,,,,,
69,DCV,02.1650,V,,,,,,,,
70,DCV,02.1636,V,,,,,,,,
71,DCV,02.1625,V,,,,,,,,
72,DCV,02.1613,V,,,,,,,,
73,DCV,02.1600,V,,,,,,,,
74,DCV,02.1585,V,,,,,,,,
75,DCV,02.1569,V,,,,,,,,
76,DCV,02.1557,V,,,,,,,,
77,DCV,02.1544,V,,,,,,,,
78,DCV,02.1534,V,,,,,,,,
79,DCV,02.1519,V,,,,,,,,
80,DCV,02.1509,V,,,,,,,,
81,DCV,02.1496,V,,,,,,,,
82,DCV,02.1481,V,,,,,,,,
83,DCV,02.1472,V,,,,,,,,
84,DCV,02.1460,V,,,,,,,,
85,DCV,02.1445,V,,,,,,,,
86,DCV,02.1431,V,,,,,,,,
87,DCV,02.1419,V,,,,,,,,
88,DCV,02.1406,V,,,,,,,,
89,DCV,02.1397,V,,,,,,,,
90,DCV,02.1384,V,,,,,,,,
91,DCV,02.1371,V,,,,,,,,
92,DCV,02.1361,V,,,,,,,,
93,DCV,02.1353,V,,,,,,,,
94,DCV,02.1338,V,,,,,,,,
95,DCV,02.1324,V,,,,,,,,
96,DCV,02.1319,V,,,,,,,,
97,DCV,02.1303,V,,,,,,,,
98,DCV,02.1297,V,,,,,,,,
99,DCV,02.1279,V,,,,,,,,
100,DCV,02.1274,V,,,,,,,,
101,DCV,02.1258,V,,,,,,,,
102,DCV,02.1254,V,,,,,,,,
103,DCV,02.1238,V,,,,,,,,
104,DCV,02.1226,V,,,,,,,,
105,DCV,02.1219,V,,,,,,,,
106,DCV,02.1210,V,,,,,,,,
107,DCV,02.1193,V,,,,,,,,
108,DCV,02.1183,V,,,,,,,,
109,DCV,02.1173,V,,,,,,,,
110,DCV,02.1167,V,,,,,,,,
111,DCV,02.1151,V,,,,,,,,
112,DCV,02.1140,V,,,,,,,,
113,DCV,02.1133,V,,,,,,,,
114,DCV,02.1125,V,,,,,,,,
115,DCV,02.1114,V,,,,,,,,
116,DCV,02.1103,V,,,,,,,,
117,DCV,02.1093,V,,,,,,,,
118,DCV,02.1086,V,,,,,,,,
119,DCV,02.1072,V,,,,,,,,
120,DCV,02.1063,V,,,,,,,,
121,DCV,02.1056,V,,,,,,,,
122,DCV,02.1042,V,,,,,,,,
123,DCV,02.1036,V,,,,,,,,
124,DCV,02.1022,V,,,,,,,,
125,DCV,02.1017,V,,,,,,,,
126,DCV,02.1004,V,,,,,,,,
127,DCV,02.0992,V,,,,,,,,
128,DCV,02.0988,V,,,,,,,,
129,DCV,02.0973,V,,,,,,,,
130,DCV,02.0968,V,,,,,,,,
131,DCV,02.0956,V,,,,,,,,
132,DCV,02.0949,V,,,,,,,,
133,DCV,02.0935,V,,,,,,,,
134,DCV,02.0926,V,,,,,,,,
135,DCV,02.0919,V,,,,,,,,
136,DCV,02.0913,V,,,,,,,,
137,DCV,02.0903,V,,,,,,,,
138,DCV,02.0893,V,,,,,,,,
139,DCV,02.0882,V,,,,,,,,
140,DCV,02.0875,V,,,,,,,,
141,DCV,02.0867,V,,,,,,,,
142,DCV,02.0857,V,,,,,,,,
143,DCV,02.0848,V,,,,,,,,
144,DCV,02.0839,V,,,,,,,,
145,DCV,02.0830,V,,,,,,,,
146,DCV,02.0819,V,,,,,,,,
147,DCV,02.0814,V,,,,,,,,
148,DCV,02.0803,V,,,,,,,,
149,DCV,02.0795,V,,,,,,,,
150,DCV,02.0789,V,,,,,,,,
151,DCV,02.0778,V,,,,,,,,
152,DCV,02.0768,V,,,,,,,,
153,DCV,02.0759,V,,,,,,,,
154,DCV,02.0755,V,,,,,,,,
155,DCV,02.0746,V,,,,,,,,
156,DCV,02.0732,V,,,,,,,,
157,DCV,02.0729,V,,,,,,,,
158,DCV,02.0715,V,,,,,,,,
159,DCV,02.0712,V,,,,,,,,
160,DCV,02.0704,V,,,,,,,,
161,DCV,02.0690,V,,,,,,,,
162,DCV,02.0687,V,,,,,,,,
163,DCV,02.0675,V,,,,,,,,
164,DCV,02.0666,V,,,,,,,,
165,DCV,02.0659,V,,,,,,,,
166,DCV,02.0652,V,,,,,,,,
167,DCV,02.0644,V,,,,,,,,
168,DCV,02.0634,V,,,,,,,,
169,DCV,02.0626,V,,,,,,,,
170,DCV,02.0620,V,,,,,,,,
171,DCV,02.0610,V,,,,,,,,
172,DCV,02.0607,V,,,,,,,,
173,DCV,02.0598,V,,,,,,,,
174,DCV,02.0588,V,,,,,,,,
175,DCV,02.0583,V,,,,,,,,
176,DCV,02.0572,V,,,,,,,,
177,DCV,02.0562,V,,,,,,,,
178,DCV,02.0561,V,,,,,,,,
179,DCV,02.0547,V,,,,,,,,
180,DCV,02.0541,V,,,,,,,,
181,DCV,02.0532,V,,,,,,,,
182,DCV,02.0529,V,,,,,,,,
183,DCV,02.0517,V,,,,,,,,
184,DCV,02.0514,V,,,,,,,,
185,DCV,02.0505,V,,,,,,,,
186,DCV,02.0497,V,,,,,,,,
187,DCV,02.0489,V,,,,,,,,
188,DCV,02.0480,V,,,,,,,,
189,DCV,02.0473,V,,,,,,,,
190,DCV,02.0467,V,,,,,,,,
191,DCV,02.0456,V,,,,,,,,
192,DCV,02.0453,V,,,,,,,,
193,DCV,02.0446,V,,,,,,,,
194,DCV,02.0435,V,,,,,,,,
195,DCV,02.0430,V,,,,,,,,
196,DCV,02.0422,V,,,,,,,,
197,DCV,02.0418,V,,,,,,,,
198,DCV,02.0409,V,,,,,,,,
199,DCV,02.0402,V,,,,,,,,
200,DCV,02.0392,V,,,,,,,,
201,DCV,02.0386,V,,,,,,,,
202,DCV,02.0377,V,,,,,,,,
203,DCV,02.0373,V,,,,,,,,
204,DCV,02.0367,V,,,,,,,,
205,DCV,02.0359,V,,,,,,,,
206,DCV,02.0350,V,,,,,,,,
207,DCV,02.0344,V,,,,,,,,
208,DCV,02.0339,V,,,,,,,,
209,DCV,02.0328,V,,,,,,,,
210,DCV,02.0326,V,,,,,,,,
211,DCV,02.0315,V,,,,,,,,
212,DCV,02.0307,V,,,,,,,,
213,DCV,02.0303,V,,,,,,,,
214,DCV,02.0296,V,,,,,,,,
215,DCV,02.0287,V,,,,,,,,
216,DCV,02.0281,V,,,,,,,,
217,DCV,02.0277,V,,,,,,,,
218,DCV,02.0271,V,,,,,,,,
219,DCV,02.0259,V,,,,,,,,
220,DCV,02.0258,V,,,,,,,,
221,DCV,02.0250,V,,,,,,,,
222,DCV,02.0242,V,,,,,,,,
223,DCV,02.0236,V,,,,,,,,
224,DCV,02.0229,V,,,,,,,,
225,DCV,02.0220,V,,,,,,,,
226,DCV,02.0212,V,,,,,,,,
227,DCV,02.0210,V,,,,,,,,
228,DCV,02.0204,V,,,,,,,,
229,DCV,02.0192,V,,,,,,,,
230,DCV,02.0191,V,,,,,,,,
231,DCV,02.0179,V,,,,,,,,
232,DCV,02.0173,V,,,,,,,,
233,DCV,02.0171,V,,,,,,,,
234,DCV,02.0166,V,,,,,,,,
235,DCV,02.0154,V,,,,,,,,
236,DCV,02.0146,V,,,,,,,,
237,DCV,02.0146,V,,,,,,,,
238,DCV,02.0138,V,,,,,,,,
239,DCV,02.0129,V,,,,,,,,
240,DCV,02.0121,V,,,,,,,,
241,DCV,02.0121,V,,,,,,,,
242,DCV,02.0111,V,,,,,,,,
243,DCV,02.0104,V,,,,,,,,
244,DCV,02.0099,V,,,,,,,,
245,DCV,02.0090,V,,,,,,,,
246,DCV,02.0088,V,,,,,,,,
247,DCV,02.0081,V,,,,,,,,
248,DCV,02.0072,V,,,,,,,,
249,DCV,02.0070,V,,,,,,,,
250,DCV,02.0059,V,,,,,,,,
251,DCV,02.0055,V,,,,,,,,
252,DCV,02.0048,V,,,,,,,,
253,DCV,02.0044,V,,,,,,,,
254,DCV,02.0036,V,,,,,,,,
255,DCV,02.0033,V,,,,,,,,
256,DCV,02.0022,V,,,,,,,,
257,DCV,02.0021,V,,,,,,,,
258,DCV,02.0013,V,,,,,,,,
259,DCV,02.0004,V,,,,,,,,
260,DCV,01.9996,V,,,,,,,,
261,DCV,01.9996,V,,,,,,,,
262,DCV,01.9989,V,,,,,,,,
263,DCV,01.9982,V,,,,,,,,
264,DCV,01.9977,V,,,,,,,,
265,DCV,01.9970,V,,,,,,,,
266,DCV,01.9964,V,,,,,,,,
267,DCV,01.9961,V,,,,,,,,
268,DCV,01.9950,V,,,,,,,,
269,DCV,01.9945,V,,,,,,,,
270,DCV,01.9942,V,,,,,,,,
271,DCV,01.9932,V,,,,,,,,
272,DCV,01.9932,V,,,,,,,,
273,DCV,01.9921,V,,,,,,,,
274,DCV,01.9915,V,,,,,,,,
275,DCV,01.9911,V,,,,,,,,
276,DCV,01.9902,V,,,,,,,,
277,DCV,01.9901,V,,,,,,,,
278,DCV,01.9894,V,,,,,,,,
279,DCV,01.9891,V,,,,,,,,
280,DCV,01.9885,V,,,,,,,,
281,DCV,01.9876,V,,,,,,,,
282,DCV,01.9871,V,,,,,,,,
283,DCV,01.9867,V,,,,,,,,
284,DCV,01.9862,V,,,,,,,,
285,DCV,01.9857,V,,,,,,,,
286,DCV,01.9851,V,,,,,,,,
287,DCV,01.9846,V,,,,,,,,
288,DCV,01.9841,V,,,,,,,,
289,DCV,01.9834,V,,,,,,,,
290,DCV,01.9829,V,,,,,,,,
291,DCV,01.9819,V,,,,,,,,
292,DCV,01.9816,V,,,,,,,,
293,DCV,01.9807,V,,,,,,,,
294,DCV,01.9803,V,,,,,,,,
295,DCV,01.9795,V,,,,,,,,
296,DCV,01.9789,V,,,,,,,,
297,DCV,01.9784,V,,,,,,,,
298,DCV,01.9780,V,,,,,,,,
299,DCV,01.9775,V,,,,,,,,
300,DCV,01.9771,V,,,,,,,,
301,DCV,01.9767,V,,,,,,,,
302,DCV,01.9762,V,,,,,,,,
303,DCV,01.9753,V,,,,,,,,
304,DCV,01.9746,V,,,,,,,,
305,DCV,01.9747,V,,,,,,,,
306,DCV,01.9739,V,,,,,,,,
307,DCV,01.9736,V,,,,,,,,
308,DCV,01.9726,V,,,,,,,,
309,DCV,01.9724,V,,,,,,,,
310,DCV,01.9719,V,,,,,,,,
311,DCV,01.9715,V,,,,,,,,
312,DCV,01.9707,V,,,,,,,,
313,DCV,01.9701,V,,,,,,,,
314,DCV,01.9697,V,,,,,,,,
315,DCV,01.9692,V,,,,,,,,
316,DCV,01.9685,V,,,,,,,,
317,DCV,01.9680,V,,,,,,,,
318,DCV,01.9677,V,,,,,,,,
319,DCV,01.9672,V,,,,,,,,
320,DCV,01.9661,V,,,,,,,,
321,DCV,01.9660,V,,,,,,,,
322,DCV,01.9652,V,,,,,,,,
323,DCV,01.9650,V,,,,,,,,
324,DCV,01.9645,V,,,,,,,,
325,DCV,01.9638,V,,,,,,,,
326,DCV,01.9635,V,,,,,,,,
327,DCV,01.9629,V,,,,,,,,
328,DCV,01.9625,V,,,,,,,,
329,DCV,01.9616,V,,,,,,,,
330,DCV,01.9612,V,,,,,,,,
331,DCV,01.9610,V,,,,,,,,
332,DCV,01.9603,V,,,,,,,,
333,DCV,01.9596,V,,,,,,,,
334,DCV,01.9595,V,,,,,,,,
335,DCV,01.9584,V,,,,,,,,
336,DCV,01.9584,V,,,,,,,,
337,DCV,01.9574,V,,,,,,,,
338,DCV,01.9573,V,,,,,,,,
339,DCV,01.9568,V,,,,,,,,
340,DCV,01.9558,V,,,,,,,,
