START,2022/02/25,11:26:21,
ID,170800000,
INTERVAL,010,sec,
,MAIN,,,SUB-1,,,SUB-2,,,Remark,
No. ,Func. ,Value,Unit,Func. ,Value,Unit,Func. ,Value,Unit,
1,DCV,02.4857,V,,,,,,,,
2,DCV,02.2585,V,,,,,,,,
3,DCV,02.2563,V,,,,,,,,
4,DCV,02.2542,V,,,,,,,,
5,DCV,02.2520,V,,,,,,,,
6,DCV,02.2500,V,,,,,,,,
7,DCV,02.2478,V,,,,,,,,
8,DCV,02.2458,V,,,,,,,,
9,DCV,02.2437,V,,,,,,,,
10,DCV,02.2419,V,,,,,,,,
11,DCV,02.2385,V,,,,,,,,
12,DCV,02.2366,V,,,,,,,,
13,DCV,02.2346,V,,,,,,,,
14,DCV,02.2329,V,,,,,,,,
15,DCV,02.2309,V,,,,,,,,
16,DCV,02.2292,V,,,,,,,,
17,DCV,02.2269,V,,,,,,,,
18,DCV,02.2254,V,,,,,,,,
19,DCV,02.2236,V,,,,,,,,
20,DCV,02.2218,V,,,,,,,,
21,DCV,02.2203,V,,,,,,,,
22,DCV,02.2186,V,,,,,,,,
23,DCV,02.2167,V,,,,,,,,
24,DCV,02.2149,V,,,,,,,,
25,DCV,02.2130,V,,,,,,,,
26,DCV,02.2113,V,,,,,,,,
27,DCV,02.2095,V,,,,,,,,
28,DCV,02.2077,V,,,,,,,,
29,DCV,02.2059,V,,,,,,,,
30,DCV,02.2045,V,,,,,,,,
31,DCV,02.2026,V,,,,,,,,
32,DCV,02.2011,V,,,,,,,,
33,DCV,02.1995,V,,,,,,,,
34,DCV,02.1980,V,,,,,,,,
35,DCV,02.1962,V,,,,,,,,
36,DCV,02.1944,V,,,,,,,,
37,DCV,02.1928,V,,,,,,,,
38,DCV,02.1910,V,,,,,,,,
39,DCV,02.1894,V,,,,,,,,
40,DCV,02.1881,V,,,,,,,,
41,DCV,02.1861,V,,,,,,,,
42,DCV,02.1847,V,,,,,,,,
43,DCV,02.1830,V,,,,,,,,
44,DCV,02.1815,V,,,,,,,,
45,DCV,02.1800,V,,,,,,,,
46,DCV,02.1784,V,,,,,,,,
47,DCV,02.1768,V,,,,,,,,
48,DCV,02.1753,V,,,,,,,,
49,DCV,02.1738,V,,,,,,,,
50,DCV,02.1723,V,,,,,,,,
51,DCV,02.1708,V,,,,,,,,
52,DCV,02.1694,V,,,,,,,,
53,DCV,02.1676,V,,,,,,,,
54,DCV,02.1664,V,,,,,,,,
55,DCV,02.1648,V,,,,,,,,
56,DCV,02.1634,V,,,,,,,,
57,DCV,02.1620,V,,,,,,,,
58,DCV,02.1606,V,,,,,,,,
59,DCV,02.1591,V,,,,,,,,
60,DCV,02.1578,V,,,,,,,,
61,DCV,02.1562,V,,,,,,,,
62,DCV,02.1548,V,,,,,,,,
63,DCV,02.1534,V,,,,,,,,
64,DCV,02.1521,V,,,,,,,,
65,DCV,02.1509,V,,,,,,,,
66,DCV,02.1494,V,,,,,,,,
67,DCV,02.1478,V,,,,,,,,
68,DCV,02.1465,V,,,,,,,,
69,DCV,02.1452,V,,,,,,,,
70,DCV,02.1439,V,,,,,,,,
71,DCV,02.1426,V,,,,,,,,
72,DCV,02.1411,V,,,,,,,,
73,DCV,02.1399,V,,,,,,,,
74,DCV,02.1384,V,,,,,,,,
75,DCV,02.1373,V,,,,,,,,
76,DCV,02.1361,V,,,,,,,,
77,DCV,02.1345,V,,,,,,,,
78,DCV,02.1333,V,,,,,,,,
79,DCV,02.1321,V,,,,,,,,
80,DCV,02.1310,V,,,,,,,,
81,DCV,02.1293,V,,,,,,,,
82,DCV,02.1282,V,,,,,,,,
83,DCV,02.1272,V,,,,,,,,
84,DCV,02.1258,V,,,,,,,,
85,DCV,02.1243,V,,,,,,,,
86,DCV,02.1232,V,,,,,,,,
87,DCV,02.1220,V,,,,,,,,
88,DCV,02.1207,V,,,,,,,,
89,DCV,02.1192,V,,,,,,,,
90,DCV,02.1183,V,,,,,,,,
91,DCV,02.1170,V,,,,,,,,
92,DCV,02.1158,V,,,,,,,,
93,DCV,02.1146,V,,,,,,,,
94,DCV,02.1133,V,,,,,,,,
95,DCV,02.1119,V,,,,,,,,
96,DCV,02.1109,V,,,,,,,,
97,DCV,02.1100,V,,,,,,,,
98,DCV,02.1086,V,,,,,,,,
99,DCV,02.1075,V,,,,,,,,
100,DCV,02.1062,V,,,,,,,,
101,DCV,02.1050,V,,,,,,,,
102,DCV,02.1039,V,,,,,,,,
103,DCV,02.1026,V,,,,,,,,
104,DCV,02.1016,V,,,,,,,,
105,DCV,02.1005,V,,,,,,,,
106,DCV,02.0995,V,,,,,,,,
107,DCV,02.0981,V,,,,,,,,
108,DCV,02.0970,V,,,,,,,,
109,DCV,02.0959,V,,,,,,,,
110,DCV,02.0948,V,,,,,,,,
111,DCV,02.0937,V,,,,,,,,
112,DCV,02.0926,V,,,,,,,,
113,DCV,02.0916,V,,,,,,,,
114,DCV,02.0902,V,,,,,,,,
115,DCV,02.0893,V,,,,,,,,
116,DCV,02.0881,V,,,,,,,,
117,DCV,02.0869,V,,,,,,,,
118,DCV,02.0860,V,,,,,,,,
119,DCV,02.0848,V,,,,,,,,
120,DCV,02.0837,V,,,,,,,,
121,DCV,02.0827,V,,,,,,,,
122,DCV,02.0817,V,,,,,,,,
123,DCV,02.0809,V,,,,,,,,
124,DCV,02.0794,V,,,,,,,,
125,DCV,02.0785,V,,,,,,,,
126,DCV,02.0775,V,,,,,,,,
127,DCV,02.0762,V,,,,,,,,
128,DCV,02.0754,V,,,,,,,,
129,DCV,02.0744,V,,,,,,,,
130,DCV,02.0731,V,,,,,,,,
131,DCV,02.0720,V,,,,,,,,
132,DCV,02.0712,V,,,,,,,,
133,DCV,02.0700,V,,,,,,,,
134,DCV,02.0691,V,,,,,,,,
135,DCV,02.0682,V,,,,,,,,
136,DCV,02.0671,V,,,,,,,,
137,DCV,02.0660,V,,,,,,,,
138,DCV,02.0653,V,,,,,,,,
139,DCV,02.0641,V,,,,,,,,
140,DCV,02.0630,V,,,,,,,,
141,DCV,02.0620,V,,,,,,,,
142,DCV,02.0610,V,,,,,,,,
143,DCV,02.0603,V,,,,,,,,
144,DCV,02.0592,V,,,,,,,,
145,DCV,02.0580,V,,,,,,,,
146,DCV,02.0573,V,,,,,,,,
147,DCV,02.0561,V,,,,,,,,
148,DCV,02.0551,V,,,,,,,,
149,DCV,02.0544,V,,,,,,,,
150,DCV,02.0533,V,,,,,,,,
151,DCV,02.0524,V,,,,,,,,
152,DCV,02.0513,V,,,,,,,,
153,DCV,02.0504,V,,,,,,,,
154,DCV,02.0495,V,,,,,,,,
155,DCV,02.0485,V,,,,,,,,
156,DCV,02.0475,V,,,,,,,,
157,DCV,02.0466,V,,,,,,,,
158,DCV,02.0457,V,,,,,,,,
159,DCV,02.0447,V,,,,,,,,
160,DCV,02.0438,V,,,,,,,,
161,DCV,02.0427,V,,,,,,,,
162,DCV,02.0419,V,,,,,,,,
163,DCV,02.0409,V,,,,,,,,
164,DCV,02.0402,V,,,,,,,,
165,DCV,02.0391,V,,,,,,,,
166,DCV,02.0381,V,,,,,,,,
167,DCV,02.0374,V,,,,,,,,
168,DCV,02.0364,V,,,,,,,,
169,DCV,02.0353,V,,,,,,,,
170,DCV,02.0346,V,,,,,,,,
171,DCV,02.0336,V,,,,,,,,
172,DCV,02.0325,V,,,,,,,,
173,DCV,02.0320,V,,,,,,,,
174,DCV,02.0308,V,,,,,,,,
175,DCV,02.0301,V,,,,,,,,
176,DCV,02.0291,V,,,,,,,,
177,DCV,02.0282,V,,,,,,,,
178,DCV,02.0274,V,,,,,,,,
179,DCV,02.0265,V,,,,,,,,
180,DCV,02.0255,V,,,,,,,,
181,DCV,02.0247,V,,,,,,,,
182,DCV,02.0239,V,,,,,,,,
183,DCV,02.0232,V,,,,,,,,
184,DCV,02.0220,V,,,,,,,,
185,DCV,02.0211,V,,,,,,,,
186,DCV,02.0205,V,,,,,,,,
187,DCV,02.0194,V,,,,,,,,
188,DCV,02.0187,V,,,,,,,,
189,DCV,02.0177,V,,,,,,,,
190,DCV,02.0170,V,,,,,,,,
191,DCV,02.0162,V,,,,,,,,
192,DCV,02.0154,V,,,,,,,,
193,DCV,02.0146,V,,,,,,,,
194,DCV,02.0135,V,,,,,,,,
195,DCV,02.0128,V,,,,,,,,
196,DCV,02.0120,V,,,,,,,,
197,DCV,02.0112,V,,,,,,,,
198,DCV,02.0103,V,,,,,,,,
199,DCV,02.0096,V,,,,,,,,
200,DCV,02.0088,V,,,,,,,,
201,DCV,02.0078,V,,,,,,,,
202,DCV,02.0070,V,,,,,,,,
203,DCV,02.0063,V,,,,,,,,
204,DCV,02.0053,V,,,,,,,,
205,DCV,02.0048,V,,,,,,,,
206,DCV,02.0036,V,,,,,,,,
207,DCV,02.0030,V,,,,,,,,
208,DCV,02.0022,V,,,,,,,,
209,DCV,02.0013,V,,,,,,,,
210,DCV,02.0004,V,,,,,,,,
211,DCV,01.9997,V,,,,,,,,
212,DCV,01.9992,V,,,,,,,,
213,DCV,01.9981,V,,,,,,,,
214,DCV,01.9975,V,,,,,,,,
215,DCV,01.9965,V,,,,,,,,
216,DCV,01.9958,V,,,,,,,,
217,DCV,01.9949,V,,,,,,,,
218,DCV,01.9942,V,,,,,,,,
219,DCV,01.9936,V,,,,,,,,
220,DCV,01.9926,V,,,,,,,,
221,DCV,01.9920,V,,,,,,,,
222,DCV,01.9912,V,,,,,,,,
223,DCV,01.9904,V,,,,,,,,
224,DCV,01.9896,V,,,,,,,,
225,DCV,01.9888,V,,,,,,,,
226,DCV,01.9878,V,,,,,,,,
227,DCV,01.9873,V,,,,,,,,
