START,2022/02/27,14:01:04,
ID,170800000,
INTERVAL,010,sec,
,MAIN,,,SUB-1,,,SUB-2,,,Remark,
No. ,Func. ,Value,Unit,Func. ,Value,Unit,Func. ,Value,Unit,
1,DCV,02.7563,V,,,,,,,,
2,DCV,02.3462,V,,,,,,,,
3,DCV,02.3399,V,,,,,,,,
4,DCV,02.3344,V,,,,,,,,
5,DCV,02.3294,V,,,,,,,,
6,DCV,02.3249,V,,,,,,,,
7,DCV,02.3207,V,,,,,,,,
8,DCV,02.3169,V,,,,,,,,
9,DCV,02.3128,V,,,,,,,,
10,DCV,02.3095,V,,,,,,,,
11,DCV,02.3061,V,,,,,,,,
12,DCV,02.3025,V,,,,,,,,
13,DCV,02.2994,V,,,,,,,,
14,DCV,02.2965,V,,,,,,,,
15,DCV,02.2934,V,,,,,,,,
16,DCV,02.2904,V,,,,,,,,
17,DCV,02.2876,V,,,,,,,,
18,DCV,02.2848,V,,,,,,,,
19,DCV,02.2821,V,,,,,,,,
20,DCV,02.2794,V,,,,,,,,
21,DCV,02.2768,V,,,,,,,,
22,DCV,02.2741,V,,,,,,,,
23,DCV,02.2718,V,,,,,,,,
24,DCV,02.2693,V,,,,,,,,
25,DCV,02.2666,V,,,,,,,,
26,DCV,02.2645,V,,,,,,,,
27,DCV,02.2622,V,,,,,,,,
28,DCV,02.2597,V,,,,,,,,
29,DCV,02.2577,V,,,,,,,,
30,DCV,02.2554,V,,,,,,,,
31,DCV,02.2530,V,,,,,,,,
32,DCV,02.2509,V,,,,,,,,
33,DCV,02.2488,V,,,,,,,,
34,DCV,02.2467,V,,,,,,,,
35,DCV,02.2444,V,,,,,,,,
36,DCV,02.2427,V,,,,,,,,
37,DCV,02.2405,V,,,,,,,,
38,DCV,02.2386,V,,,,,,,,
39,DCV,02.2366,V,,,,,,,,
40,DCV,02.2346,V,,,,,,,,
41,DCV,02.2327,V,,,,,,,,
42,DCV,02.2306,V,,,,,,,,
43,DCV,02.2288,V,,,,,,,,
44,DCV,02.2269,V,,,,,,,,
45,DCV,02.2250,V,,,,,,,,
46,DCV,02.2233,V,,,,,,,,
47,DCV,02.2213,V,,,,,,,,
48,DCV,02.2196,V,,,,,,,,
49,DCV,02.2179,V,,,,,,,,
50,DCV,02.2161,V,,,,,,,,
51,DCV,02.2143,V,,,,,,,,
52,DCV,02.2127,V,,,,,,,,
53,DCV,02.2109,V,,,,,,,,
54,DCV,02.2092,V,,,,,,,,
55,DCV,02.2076,V,,,,,,,,
56,DCV,02.2058,V,,,,,,,,
57,DCV,02.2042,V,,,,,,,,
58,DCV,02.2026,V,,,,,,,,
59,DCV,02.2009,V,,,,,,,,
60,DCV,02.1995,V,,,,,,,,
61,DCV,02.1978,V,,,,,,,,
62,DCV,02.1961,V,,,,,,,,
63,DCV,02.1947,V,,,,,,,,
64,DCV,02.1930,V,,,,,,,,
65,DCV,02.1917,V,,,,,,,,
66,DCV,02.1900,V,,,,,,,,
67,DCV,02.1884,V,,,,,,,,
68,DCV,02.1872,V,,,,,,,,
69,DCV,02.1857,V,,,,,,,,
70,DCV,02.1841,V,,,,,,,,
71,DCV,02.1825,V,,,,,,,,
72,DCV,02.1810,V,,,,,,,,
73,DCV,02.1796,V,,,,,,,,
74,DCV,02.1785,V,,,,,,,,
75,DCV,02.1769,V,,,,,,,,
76,DCV,02.1753,V,,,,,,,,
77,DCV,02.1738,V,,,,,,,,
78,DCV,02.1727,V,,,,,,,,
79,DCV,02.1712,V,,,,,,,,
80,DCV,02.1697,V,,,,,,,,
81,DCV,02.1685,V,,,,,,,,
82,DCV,02.1671,V,,,,,,,,
83,DCV,02.1658,V,,,,,,,,
84,DCV,02.1643,V,,,,,,,,
85,DCV,02.1631,V,,,,,,,,
86,DCV,02.1617,V,,,,,,,,
87,DCV,02.1604,V,,,,,,,,
88,DCV,02.1592,V,,,,,,,,
89,DCV,02.1576,V,,,,,,,,
90,DCV,02.1563,V,,,,,,,,
91,DCV,02.1554,V,,,,,,,,
92,DCV,02.1540,V,,,,,,,,
93,DCV,02.1528,V,,,,,,,,
94,DCV,02.1514,V,,,,,,,,
95,DCV,02.1500,V,,,,,,,,
96,DCV,02.1490,V,,,,,,,,
97,DCV,02.1477,V,,,,,,,,
98,DCV,02.1463,V,,,,,,,,
99,DCV,02.1453,V,,,,,,,,
100,DCV,02.1439,V,,,,,,,,
101,DCV,02.1427,V,,,,,,,,
102,DCV,02.1417,V,,,,,,,,
103,DCV,02.1403,V,,,,,,,,
