START,2022/03/01,12:59:08,
ID,170800000,
INTERVAL,010,sec,
,MAIN,,,SUB-1,,,SUB-2,,,Remark,
No. ,Func. ,Value,Unit,Func. ,Value,Unit,Func. ,Value,Unit,
1,DCV,02.3329,V,,,,,,,,
2,DCV,02.3326,V,,,,,,,,
3,DCV,02.3325,V,,,,,,,,
4,DCV,02.3322,V,,,,,,,,
5,DCV,02.3319,V,,,,,,,,
6,DCV,02.3316,V,,,,,,,,
7,DCV,02.3314,V,,,,,,,,
8,DCV,02.3311,V,,,,,,,,
9,DCV,02.3308,V,,,,,,,,
10,DCV,02.3307,V,,,,,,,,
11,DCV,02.3304,V,,,,,,,,
12,DCV,02.3301,V,,,,,,,,
13,DCV,02.3299,V,,,,,,,,
14,DCV,02.3297,V,,,,,,,,
15,DCV,02.3296,V,,,,,,,,
16,DCV,02.3292,V,,,,,,,,
17,DCV,02.3291,V,,,,,,,,
18,DCV,02.3288,V,,,,,,,,
19,DCV,02.3285,V,,,,,,,,
20,DCV,02.3282,V,,,,,,,,
21,DCV,02.3282,V,,,,,,,,
22,DCV,02.3278,V,,,,,,,,
23,DCV,02.3277,V,,,,,,,,
24,DCV,02.3274,V,,,,,,,,
25,DCV,02.3273,V,,,,,,,,
26,DCV,02.3269,V,,,,,,,,
27,DCV,02.3266,V,,,,,,,,
28,DCV,02.3264,V,,,,,,,,
29,DCV,02.3263,V,,,,,,,,
30,DCV,02.3261,V,,,,,,,,
31,DCV,02.3258,V,,,,,,,,
32,DCV,02.3256,V,,,,,,,,
33,DCV,02.3254,V,,,,,,,,
34,DCV,02.3251,V,,,,,,,,
35,DCV,02.3249,V,,,,,,,,
36,DCV,02.3247,V,,,,,,,,
37,DCV,02.3245,V,,,,,,,,
38,DCV,02.3243,V,,,,,,,,
39,DCV,02.3240,V,,,,,,,,
40,DCV,02.3238,V,,,,,,,,
41,DCV,02.3236,V,,,,,,,,
42,DCV,02.3233,V,,,,,,,,
43,DCV,02.3231,V,,,,,,,,
44,DCV,02.3229,V,,,,,,,,
45,DCV,02.3227,V,,,,,,,,
46,DCV,02.3224,V,,,,,,,,
47,DCV,02.3223,V,,,,,,,,
48,DCV,02.3221,V,,,,,,,,
49,DCV,02.3219,V,,,,,,,,
50,DCV,02.3216,V,,,,,,,,
51,DCV,02.3213,V,,,,,,,,
52,DCV,02.3212,V,,,,,,,,
53,DCV,02.3209,V,,,,,,,,
54,DCV,02.3208,V,,,,,,,,
55,DCV,02.3207,V,,,,,,,,
56,DCV,02.3203,V,,,,,,,,
57,DCV,02.3202,V,,,,,,,,
58,DCV,02.3200,V,,,,,,,,
59,DCV,02.3196,V,,,,,,,,
60,DCV,02.3194,V,,,,,,,,
61,DCV,02.3192,V,,,,,,,,
62,DCV,02.3190,V,,,,,,,,
63,DCV,02.3189,V,,,,,,,,
64,DCV,02.3186,V,,,,,,,,
65,DCV,02.3184,V,,,,,,,,
66,DCV,02.3182,V,,,,,,,,
67,DCV,02.3179,V,,,,,,,,
68,DCV,02.3178,V,,,,,,,,
69,DCV,02.3175,V,,,,,,,,
70,DCV,02.3172,V,,,,,,,,
71,DCV,02.3171,V,,,,,,,,
72,DCV,02.3170,V,,,,,,,,
73,DCV,02.3167,V,,,,,,,,
74,DCV,02.3166,V,,,,,,,,
75,DCV,02.3164,V,,,,,,,,
76,DCV,02.3161,V,,,,,,,,
77,DCV,02.3159,V,,,,,,,,
78,DCV,02.3157,V,,,,,,,,
79,DCV,02.3155,V,,,,,,,,
80,DCV,02.3153,V,,,,,,,,
81,DCV,02.3150,V,,,,,,,,
82,DCV,02.3150,V,,,,,,,,
83,DCV,02.3146,V,,,,,,,,
84,DCV,02.3145,V,,,,,,,,
85,DCV,02.3144,V,,,,,,,,
86,DCV,02.3141,V,,,,,,,,
87,DCV,02.3139,V,,,,,,,,
88,DCV,02.3137,V,,,,,,,,
89,DCV,02.3134,V,,,,,,,,
90,DCV,02.3132,V,,,,,,,,
91,DCV,02.3132,V,,,,,,,,
92,DCV,02.3129,V,,,,,,,,
93,DCV,02.3127,V,,,,,,,,
94,DCV,02.3125,V,,,,,,,,
95,DCV,02.3123,V,,,,,,,,
96,DCV,02.3122,V,,,,,,,,
97,DCV,02.3119,V,,,,,,,,
98,DCV,02.3116,V,,,,,,,,
99,DCV,02.3115,V,,,,,,,,
100,DCV,02.3112,V,,,,,,,,
101,DCV,02.3111,V,,,,,,,,
102,DCV,02.3109,V,,,,,,,,
103,DCV,02.3108,V,,,,,,,,
104,DCV,02.3105,V,,,,,,,,
105,DCV,02.3103,V,,,,,,,,
106,DCV,02.3101,V,,,,,,,,
107,DCV,02.3100,V,,,,,,,,
108,DCV,02.3097,V,,,,,,,,
109,DCV,02.3096,V,,,,,,,,
110,DCV,02.3094,V,,,,,,,,
111,DCV,02.3091,V,,,,,,,,
112,DCV,02.3089,V,,,,,,,,
113,DCV,02.3088,V,,,,,,,,
114,DCV,02.3086,V,,,,,,,,
115,DCV,02.3085,V,,,,,,,,
116,DCV,02.3081,V,,,,,,,,
117,DCV,02.3080,V,,,,,,,,
118,DCV,02.3078,V,,,,,,,,
119,DCV,02.3076,V,,,,,,,,
120,DCV,02.3074,V,,,,,,,,
121,DCV,02.3072,V,,,,,,,,
122,DCV,02.3070,V,,,,,,,,
123,DCV,02.3069,V,,,,,,,,
124,DCV,02.3067,V,,,,,,,,
125,DCV,02.3065,V,,,,,,,,
126,DCV,02.3063,V,,,,,,,,
127,DCV,02.3062,V,,,,,,,,
128,DCV,02.3059,V,,,,,,,,
129,DCV,02.3056,V,,,,,,,,
130,DCV,02.3055,V,,,,,,,,
131,DCV,02.3054,V,,,,,,,,
132,DCV,02.3052,V,,,,,,,,
133,DCV,02.3049,V,,,,,,,,
134,DCV,02.3047,V,,,,,,,,
135,DCV,02.3046,V,,,,,,,,
136,DCV,02.3045,V,,,,,,,,
137,DCV,02.3043,V,,,,,,,,
138,DCV,02.3040,V,,,,,,,,
139,DCV,02.3039,V,,,,,,,,
140,DCV,02.3036,V,,,,,,,,
141,DCV,02.3035,V,,,,,,,,
142,DCV,02.3033,V,,,,,,,,
143,DCV,02.3032,V,,,,,,,,
144,DCV,02.3030,V,,,,,,,,
145,DCV,02.3028,V,,,,,,,,
146,DCV,02.3025,V,,,,,,,,
147,DCV,02.3023,V,,,,,,,,
148,DCV,02.3022,V,,,,,,,,
149,DCV,02.3020,V,,,,,,,,
150,DCV,02.3018,V,,,,,,,,
151,DCV,02.3016,V,,,,,,,,
152,DCV,02.3014,V,,,,,,,,
153,DCV,02.3011,V,,,,,,,,
154,DCV,02.3010,V,,,,,,,,
155,DCV,02.3009,V,,,,,,,,
156,DCV,02.3007,V,,,,,,,,
157,DCV,02.3005,V,,,,,,,,
158,DCV,02.3004,V,,,,,,,,
159,DCV,02.3002,V,,,,,,,,
160,DCV,02.3000,V,,,,,,,,
161,DCV,02.2999,V,,,,,,,,
162,DCV,02.2996,V,,,,,,,,
163,DCV,02.2993,V,,,,,,,,
164,DCV,02.2993,V,,,,,,,,
165,DCV,02.2991,V,,,,,,,,
166,DCV,02.2990,V,,,,,,,,
167,DCV,02.2988,V,,,,,,,,
168,DCV,02.2984,V,,,,,,,,
169,DCV,02.2984,V,,,,,,,,
170,DCV,02.2982,V,,,,,,,,
171,DCV,02.2980,V,,,,,,,,
172,DCV,02.2979,V,,,,,,,,
173,DCV,02.2976,V,,,,,,,,
174,DCV,02.2974,V,,,,,,,,
175,DCV,02.2973,V,,,,,,,,
176,DCV,02.2972,V,,,,,,,,
177,DCV,02.2970,V,,,,,,,,
178,DCV,02.2969,V,,,,,,,,
179,DCV,02.2966,V,,,,,,,,
180,DCV,02.2964,V,,,,,,,,
181,DCV,02.2963,V,,,,,,,,
182,DCV,02.2962,V,,,,,,,,
183,DCV,02.2959,V,,,,,,,,
184,DCV,02.2958,V,,,,,,,,
185,DCV,02.2956,V,,,,,,,,
186,DCV,02.2954,V,,,,,,,,
187,DCV,02.2953,V,,,,,,,,
188,DCV,02.2951,V,,,,,,,,
189,DCV,02.2950,V,,,,,,,,
190,DCV,02.2948,V,,,,,,,,
191,DCV,02.2946,V,,,,,,,,
192,DCV,02.2944,V,,,,,,,,
193,DCV,02.2942,V,,,,,,,,
194,DCV,02.2941,V,,,,,,,,
195,DCV,02.2939,V,,,,,,,,
196,DCV,02.2938,V,,,,,,,,
197,DCV,02.2936,V,,,,,,,,
198,DCV,02.2935,V,,,,,,,,
199,DCV,02.2932,V,,,,,,,,
200,DCV,02.2931,V,,,,,,,,
201,DCV,02.2930,V,,,,,,,,
202,DCV,02.2928,V,,,,,,,,
203,DCV,02.2925,V,,,,,,,,
204,DCV,02.2924,V,,,,,,,,
205,DCV,02.2922,V,,,,,,,,
206,DCV,02.2920,V,,,,,,,,
207,DCV,02.2919,V,,,,,,,,
208,DCV,02.2916,V,,,,,,,,
209,DCV,02.2915,V,,,,,,,,
210,DCV,02.2914,V,,,,,,,,
211,DCV,02.2911,V,,,,,,,,
212,DCV,02.2910,V,,,,,,,,
213,DCV,02.2908,V,,,,,,,,
214,DCV,02.2907,V,,,,,,,,
215,DCV,02.2906,V,,,,,,,,
216,DCV,02.2904,V,,,,,,,,
217,DCV,02.2902,V,,,,,,,,
218,DCV,02.2900,V,,,,,,,,
219,DCV,02.2900,V,,,,,,,,
220,DCV,02.2898,V,,,,,,,,
221,DCV,02.2896,V,,,,,,,,
222,DCV,02.2894,V,,,,,,,,
223,DCV,02.2893,V,,,,,,,,
224,DCV,02.2890,V,,,,,,,,
225,DCV,02.2890,V,,,,,,,,
226,DCV,02.2887,V,,,,,,,,
227,DCV,02.2886,V,,,,,,,,
228,DCV,02.2884,V,,,,,,,,
229,DCV,02.2883,V,,,,,,,,
230,DCV,02.2881,V,,,,,,,,
231,DCV,02.2880,V,,,,,,,,
232,DCV,02.2877,V,,,,,,,,
233,DCV,02.2876,V,,,,,,,,
234,DCV,02.2875,V,,,,,,,,
235,DCV,02.2873,V,,,,,,,,
236,DCV,02.2871,V,,,,,,,,
237,DCV,02.2869,V,,,,,,,,
238,DCV,02.2868,V,,,,,,,,
239,DCV,02.2867,V,,,,,,,,
240,DCV,02.2865,V,,,,,,,,
241,DCV,02.2863,V,,,,,,,,
242,DCV,02.2861,V,,,,,,,,
243,DCV,02.2861,V,,,,,,,,
244,DCV,02.2859,V,,,,,,,,
245,DCV,02.2856,V,,,,,,,,
246,DCV,02.2856,V,,,,,,,,
247,DCV,02.2852,V,,,,,,,,
248,DCV,02.2851,V,,,,,,,,
249,DCV,02.2850,V,,,,,,,,
250,DCV,02.2849,V,,,,,,,,
251,DCV,02.2847,V,,,,,,,,
252,DCV,02.2845,V,,,,,,,,
253,DCV,02.2844,V,,,,,,,,
254,DCV,02.2842,V,,,,,,,,
